SODIMM,Designator,FPGA,Signal,Direction
,PR20B,H15,SDRAM_A[0],output
,PT60A,B13,SDRAM_A[1],output
,PT56A,B12,SDRAM_A[2],output
,PR23A,J16,SDRAM_A[3],output
,PR23B,J15,SDRAM_A[4],output
,PR44A,R12,SDRAM_A[5],output
,PR23C,K16,SDRAM_A[6],output
,PR41C,R13,SDRAM_A[7],output
,PR44B,T13,SDRAM_A[8],output
,PR23D,K15,SDRAM_A[9],output
,PT65A,A13,SDRAM_A[10],output
,PR41B,R14,SDRAM_A[11],output
,PR41D,T14,SDRAM_A[12],output
,PR14B,G15,SDRAM_BA[1],output
,PT67A,B14,SDRAM_BA[0],output
,PR38C,R15,SDRAM_CLK,output
,PR26A,L16,SDRAM_CKE,output
,PR2A,B16,SDRAM_RAS_n,output
,PR20A,G16,SDRAM_CAS_n,output
,PT67B,A15,SDRAM_WE_n,output
,PT65B,A14,SDRAM_CE_n,output
,PR14A,F16,SDRAM_DQ[0],inout
,PR8B,E15,SDRAM_DQ[1],inout
,PR11C,F15,SDRAM_DQ[2],inout
,PR2D,D14,SDRAM_DQ[3],inout
,PR11D,E16,SDRAM_DQ[4],inout
,PR5B,C15,SDRAM_DQ[5],inout
,PR8A,D16,SDRAM_DQ[6],inout
,PR2B,B15,SDRAM_DQ[7],inout
,PR35B,R16,SDRAM_DQ[8],inout
,PR35A,P16,SDRAM_DQ[9],inout
,PR32B,P15,SDRAM_DQ[10],inout
,PR32A,N16,SDRAM_DQ[11],inout
,PR35D,N14,SDRAM_DQ[12],inout
,PR26C,M16,SDRAM_DQ[13],inout
,PR26D,M15,SDRAM_DQ[14],inout
,PR26B,L15,SDRAM_DQ[15],inout
,PR5A,C16,SDRAM_DQM[1],output
,PR38D,T15,SDRAM_DQM[0],output
