Designator,Pin
PT29B,41
PT35B,49
PT29A,51
PT27B,57
PT18B,59
PT22B,61
PT18A,63
PT15B,65
PT6B,67
PT11B,69
PT6A,71
PT4B,73
PT4A,75
PL2A,77
PL2B,79
PL5A,81
PL5B,83
PL8A,85
PL2D,87
PL11D,89
PL8B,91
PL14A,93
PL11C,95
PL20A,97
PL14B,99
PL20B,101
PL23A,103
PL23B,109
PL23C,111
PL23D,113
PL26A,115
PL26B,117
PL26C,119
PL26D,121
PL32A,123
PL35D,125
PL32B,129
PL35B,131
PL38C,133
PL38D,135
PL41B,137
PL41D,139
PL41C,141
PL44B,143
PL44A,145
PB4B,147
PB4A,149
PB6B,151
PB6A,153
PB13A,155
PR47C,42
PR47D,44
PR44D,46
PR41A,48
PR38A,50
PR38B,52
PR44C,54
PR35C,58
PR32C,60
PR29C,62
PR20D,64
PR29A,66
PR20C,68
PR17C,70
PR14D,72
PR17B,74
PR14C,76
PR11B,78
PR5D,80
PR8C,82
PR5C,84
PT62B,86
PT58B,88
PT62D,90
PT62A,92
PT58D,94
PT58A,96
PT49B,98
PT51A,100
PT44B,102
PT47A,104
PT38B,110
PT40A,112
PT35A,114
PT33B,116
PT27A,118
PT24B,120
PT22A,122
PT20B,124
PT15A,126
PT13B,128
PT11A,130
PT9B,132
PL2C,134
PT9A,136
PL5C,138
PL8C,140
PL5D,142
PL11B,144
PL14C,146
PL14D,148
PL17C,150
PL20C,152
PL29A,154
PL20D,156
