SODIMM,Designator,FPGA,Signal,Direction,SlewRate,PullMode,Drive
81,PL5A,C1,SRAM_D[0],inout,FAST,NONE,4
77,PL2A,B1,SRAM_D[1],inout,FAST,NONE,4
73,PT4B,B3,SRAM_D[2],inout,FAST,NONE,4
69,PT11B,B4,SRAM_D[3],inout,FAST,NONE,4
71,PT6A,A3,SRAM_D[4],inout,FAST,NONE,4
75,PT4A,A2,SRAM_D[5],inout,FAST,NONE,4
79,PL2B,B2,SRAM_D[6],inout,FAST,NONE,4
83,PL5B,C2,SRAM_D[7],inout,FAST,NONE,4
135,PL38D,T2,SRAM_D[8],inout,FAST,NONE,4
139,PL41D,T3,SRAM_D[9],inout,FAST,NONE,4
143,PL44B,T4,SRAM_D[10],inout,FAST,NONE,4
147,PB4B,R6,SRAM_D[11],inout,FAST,NONE,4
145,PL44A,R5,SRAM_D[12],inout,FAST,NONE,4
141,PL41C,R4,SRAM_D[13],inout,FAST,NONE,4
137,PL41B,R3,SRAM_D[14],inout,FAST,NONE,4
133,PL38C,R2,SRAM_D[15],inout,FAST,NONE,4
113,PL23D,K2,SRAM_A[0],output,,,
117,PL26B,L2,SRAM_A[1],output,,,
121,PL26D,M2,SRAM_A[2],output,,,
125,PL35D,N3,SRAM_A[3],output,,,
129,PL32B,P2,SRAM_A[4],output,,,
131,PL35B,R1,SRAM_A[5],output,,,
127,PL35A,P1,SRAM_A[6],output,,,
123,PL32A,N1,SRAM_A[7],output,,,
119,PL26C,M1,SRAM_A[8],output,,,
115,PL26A,L1,SRAM_A[9],output,,,
103,PL23A,J1,SRAM_A[10],output,,,
99,PL14B,G2,SRAM_A[11],output,,,
95,PL11C,F2,SRAM_A[12],output,,,
91,PL8B,E2,SRAM_A[13],output,,,
87,PL2D,D3,SRAM_A[14],output,,,
85,PL8A,D1,SRAM_A[15],output,,,
89,PL11D,E1,SRAM_A[16],output,,,
93,PL14A,F1,SRAM_A[17],output,,,
97,PL20A,G1,SRAM_A[18],output,,,
101,PL20B,H2,SRAM_A[19],output,,,
109,PL23B,J2,SRAM_WE,output,,,
111,PL23C,K1,SRAM_OE,output,,,
