Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,CP_Elec_5x5.3,184.65,-142.0,0.0,top
C10,1uF,C_0805_2012Metric,172.8,-213.2,-90.0,top
C11,1uF,C_0805_2012Metric,147.6,-212.3,-90.0,top
C12,1uF,C_0805_2012Metric,149.65,-225.0,0.0,top
C13,1uF,C_0805_2012Metric,168.4,-225.2,180.0,top
C14,1uF,C_0805_2012Metric,160.8,-208.75,-90.0,top
C15,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,131.25,-205.4375,90.0,top
C16,10uF,C_0805_2012Metric,138.5,-241.75,180.0,top
C17,10uF,CP_Elec_5x5.3,127.45,-245.55,90.0,top
C18,0.1uF,C_0805_2012Metric,142.0,-245.3,-90.0,top
C19,27pF,C_0805_2012Metric,166.8,-246.85,-90.0,top
C2,22uF,CP_Elec_5x5.3,184.6,-126.0,180.0,top
C20,27pF,C_0805_2012Metric,166.8,-240.3,90.0,top
C21,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.65,-212.0,180.0,top
C22,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.65,-214.5,180.0,top
C23,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.65,-209.5,180.0,top
C24,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.65,-207.0,180.0,top
C25,47uF,CP_EIA-3216-18_Kemet-A,128.6475,-225.4,90.0,top
C26,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,139.8375,-216.95,0.0,top
C27,10uF,CP_Elec_5x5.3,141.3,-257.6,90.0,top
C28,10uF,C_0805_2012Metric,130.1,-259.25,90.0,top
C29,10uF,C_0805_2012Metric,138.5,-239.65,180.0,top
C3,1uF,C_0805_2012Metric,141.0,-134.0,180.0,top
C30,10uF,CP_Elec_5x5.3,185.4,-248.3,0.0,top
C31,22uF,CP_Elec_5x5.3,174.8,-248.3,180.0,top
C32,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,139.8375,-209.45,0.0,top
C33,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,139.8375,-214.45,0.0,top
C34,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,139.8375,-211.95,0.0,top
C35,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,134.4,-203.55,0.0,top
C36,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,138.55,-203.55,0.0,top
